gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hs6st1,428.7958632,0.152758611,0.51312357,0.29770336,0.765929579,0.887951399
Uggt1,858.4446382,-0.487685733,0.321313493,-1.517787905,0.129067875,0.319684798
Neurl3,149.0463297,-2.228393086,0.948239379,-2.350032213,0.018771786,0.09031152
Arid5a,173.5481205,-0.42909324,0.727550192,-0.589778197,0.555339362,0.755778858
Kansl3,581.5815418,-0.88518116,0.481071498,-1.840019964,0.065765306,0.208358481
Fer1l5,57.51443909,-1.156148149,0.757454823,-1.526359215,0.126920429,0.316799663
Lman2l,321.7762684,-2.52324143,0.555773597,-4.54005272,5.62E-06,0.000224508
Cnnm4,429.8662389,-1.776506585,0.800247111,-2.219947515,0.026422331,0.114387996
Cnnm3,287.6261554,-1.515065354,0.405814191,-3.733396685,0.000188915,0.003194309
Ankrd23,1046.529291,-3.777282813,1.209368266,-3.123352017,0.001788038,0.016534506
Ankrd39,57.65354065,-0.051167609,0.703942171,-0.072687234,0.942055008,0.977876767
Sema4c,345.709871,0.448155631,0.803735013,0.557591276,0.577123515,0.772228043
Fam178b,31.43651085,-0.650630222,1.207222059,-0.538948255,0.589922559,0.781587984
Cox5b,1447.981666,1.038530314,0.780530416,1.330544324,0.183338993,0.397143842
Actr1b,750.3273381,-1.008206795,0.477399772,-2.111871128,0.034697504,0.138366877
Zap70,22.86108645,-2.597596084,1.370539961,-1.895308533,0.058051538,0.192532174
Tmem131,2010.856317,-1.36129007,0.800262855,-1.701053675,0.088932909,0.253159821
Inpp4a,232.9959946,-1.588452329,0.552353043,-2.87579176,0.004030155,0.030038531
Coa5,1519.823422,-0.445150499,0.723088168,-0.615624095,0.538142645,0.742700638
Unc50,953.5586598,0.45081405,0.502994637,0.896260152,0.370113836,0.601616028
Mgat4a,59.05196814,-2.056857874,0.884597099,-2.325191746,0.02006171,0.094459781
4930594C11Rik,10.29063937,1.72221216,1.788159272,0.963120113,0.33548725,0.568187105
2010300C02Rik,128.3884543,-0.305422419,0.71330928,-0.428176707,0.668522473,0.832956781
Tsga10,10.11344336,-0.952609101,1.772900307,-0.53731679,0.59104881,0.78234684
Lipt1,43.80696596,-0.704422047,0.849531094,-0.829189245,0.40699733,0.633616667
Mitd1,314.6333909,0.737852111,0.472179305,1.562652373,0.118134383,0.303055805
Mrpl30,982.4501845,0.47865861,0.660243796,0.724972522,0.468468888,0.687684608
Lyg2,266.8724076,-8.757523659,2.400186241,-3.648685052,0.000263586,0.004063243
Txndc9,1674.37541,0.368752411,0.359375827,1.026091306,0.304848548,0.538221406
Eif5b,3137.175944,-2.994022353,0.596895739,-5.015988816,5.28E-07,3.50E-05
Rev1,119.1424687,3.03673463,1.040149197,2.919518313,0.003505728,0.027280776
Aff3,298.0512031,-1.376781481,0.675849653,-2.037112064,0.041638813,0.15692666
Chst10,22.41311832,-1.157331361,1.383800864,-0.836342419,0.402962296,0.630087245
Pdcl3,751.6674371,0.952394209,0.623262276,1.528079344,0.126492839,0.316365899
Npas2,17.03074509,0.754323214,1.278623709,0.589949341,0.555224613,0.755778858
Rpl31,17643.13089,-0.550706904,0.491458905,-1.120555348,0.262477181,0.494121974
Tbc1d8,176.2781959,0.052116517,0.926398392,0.056257132,0.955136968,0.985267472
Cnot11,419.6154032,-0.748237273,0.400777451,-1.866964502,0.061906545,0.200683757
Snord89,5.124429043,0.711353445,2.175285679,0.327016103,0.743655706,0.876543028
Rnf149,1428.568143,0.076210828,0.436671113,0.174526835,0.861451443,0.94044944
Creg2,4.586452159,-3.56468967,2.679274867,-1.330468073,0.183364099,0.397143842
Map4k4,3292.721611,1.260742751,0.465764515,2.706824392,0.006793018,0.044107264
Gm16894,112.0348483,-3.257400805,0.824603858,-3.950261418,7.81E-05,0.00165261
Il1r2,660.0015244,-4.382318176,0.675926744,-6.483421786,8.97E-11,3.53E-08
Il1r1,457.8757214,-0.9345239,0.895127979,-1.044011496,0.296480071,0.529160633
Il1rl2,677.0024636,2.203436337,1.017133063,2.16632063,0.030286694,0.125872419
Il1rl1,25.75551831,2.451028579,3.052511078,0.802954851,0.422000831,0.646242244
Il18r1,80.14590911,-1.525235599,0.940794408,-1.621220945,0.104970262,0.281502
Il18rap,33.50509051,-3.815358395,1.066476967,-3.577534736,0.00034685,0.005033749
Slc9a4,3.797546878,0.169009868,4.008546332,0.042162384,0.966369249,0.989642338
Slc9a2,15.21429317,-3.611881675,1.69739322,-2.1278992,0.033345442,0.134758374
Mfsd9,230.9271987,1.869665517,0.639206283,2.924979881,0.003444785,0.02690188
Tmem182,57.92225464,-1.294524216,12.73648377,-0.101639058,0.919043176,0.966102055
Mrps9,343.7590892,0.259369674,0.599083663,0.432943995,0.665055457,0.830852548
Tgfbrap1,629.1697518,0.594510298,0.540937259,1.099037436,0.271751737,0.503720421
AI597479,421.49264,0.841478342,0.346941997,2.425415055,0.015290894,0.078837623
Fhl2,982.7852305,4.699451706,0.633142798,7.422419899,1.15E-13,1.61E-10
Nck2,868.9564049,-1.348007705,0.624293492,-2.159253176,0.030830531,0.127409095
1500015O10Rik,8.079796821,-1.294931202,8.512071484,-0.152128798,0.879085351,0.94857934
Uxs1,139.5054205,0.973274184,0.687672142,1.41531716,0.156975526,0.36121528
Tpp2,2090.190493,-0.258339637,0.627104649,-0.411956182,0.680371541,0.839687642
Mettl21c,9.95501725,1.559420119,4.006562907,0.389216432,0.697116049,0.850720705
Tex30,173.2418308,2.080839047,0.669050089,3.110139407,0.001869991,0.017120362
Kdelc1,165.3399096,1.329979282,0.576198275,2.308197264,0.020988167,0.097275978
Bivm,188.2550312,1.192398149,0.608023689,1.961104756,0.049866804,0.174634841
Ercc5,631.5210703,1.091379577,0.423431744,2.577462822,0.009952859,0.057941472
Mettl21e,14.63134059,-1.295322966,12.73648377,-0.101701772,0.918993396,0.966102055
Gulp1,27.77294446,-2.942248245,3.023528489,-0.973117421,0.330494947,0.563311172
